song,days_on_chart,avg_rank,best_rank,worst_rank,rank_volatility,avg_popularity,duration_min,days_norm,rank_norm,volatility_norm,best_rank_norm,performance_score
i like the way you kiss me,100,19.09,3,46,11.981547260161133,96.23,2.3752333333333335,0.1865671641791045,0.8091,0.5965603182491888,0.97,0.6021395392876054
Calling For You (feat. 21 Savage),7,8.142857142857142,4,17,4.740906081772817,68.57142857142857,4.7605,0.013059701492537313,0.9185714285714286,0.8403653886004713,0.96,0.6021074343824352
CARNIVAL,107,16.42056074766355,1,50,17.782775948577676,92.19626168224299,4.4054,0.19962686567164178,0.8357943925233645,0.40122278754474683,0.99,0.6005197191227268
La Diabla,104,18.317307692307693,5,50,13.094328738361877,96.67307692307692,2.8710666666666667,0.19402985074626866,0.8168269230769231,0.5590910168580203,0.95,0.5997089725239191
Saturn,119,22.92436974789916,3,50,12.587429607879216,89.91596638655462,3.1031833333333334,0.22201492537313433,0.7707563025210085,0.5761591984076324,0.97,0.5990858496037131
"What Was I Made For? [From The Motion Picture ""Barbie""]",142,26.45774647887324,3,50,13.732822017319844,95.2394366197183,3.7061500000000005,0.26492537313432835,0.7354225352112675,0.5375918298440578,0.97,0.5978809509053643
Santa Tell Me - Naughty Version,2,9.5,9,10,0.7071067811865476,59.0,3.39155,0.0037313432835820895,0.905,0.9761904761904762,0.91,0.5976750177683013
Rich Baby Daddy (feat. Sexyy Red & SZA),141,26.326241134751772,10,50,9.657340993033458,88.78014184397163,5.31985,0.2630597014925373,0.7367375886524823,0.6748204140759626,0.9,0.5974110929583532
End of Beginning,148,25.39864864864865,3,50,16.235821596806595,94.73648648648648,2.6540833333333333,0.27611940298507465,0.7460135135135135,0.453311450036336,0.97,0.5970776657781394
Cowgirls (feat. ERNEST),184,31.39673913043478,17,50,8.749719134751677,84.80978260869566,3.0270166666666665,0.34328358208955223,0.6860326086956522,0.7053816317304475,0.83,0.5967988299478663
LUNCH,89,19.04494382022472,4,48,11.155828187706465,93.23595505617978,2.9931,0.166044776119403,0.8095505617977528,0.6243637256533678,0.96,0.5958947408363413
First Person Shooter (feat. J. Cole),138,27.079710144927535,1,50,14.148359681150163,89.33333333333333,4.124066666666667,0.2574626865671642,0.7292028985507246,0.5235999488948753,0.99,0.5956929496807486
"dodger blue (feat. wallie the sensei, roddy ricch, siete7x)",1,10.0,10,10,0.0,28.0,2.187333333333333,0.0018656716417910447,0.9,1.0,0.9,0.5956529850746268
